"title","price","url"
"Samsung BN94-04416C Main Board","$22.84","https://www.ebay.com/itm/Samsung-BN94-04416C-Main-Board/292281037159?epid=2255354618&hash=item440d4eb167:g:57wAAOSwOudZ1YeB:sc:USPSPriority!48823!US!-1"
"Samsung BN94-06195C (BN97-06475W, BN41-01963C) Main Board [See List]","$60.00","https://www.ebay.com/itm/Samsung-BN94-06195C-BN97-06475W-BN41-01963C-Main-Board-See-List/352688696793?epid=1227953756&hash=item521de26dd9:g:PhAAAOSwPMpc~pfT"
"Samsung UN55EH6000F BN94-05549D (BN97-06546A) Main Board UN55EH6000FXZA","$29.99","https://www.ebay.com/itm/Samsung-UN55EH6000F-BN94-05549D-BN97-06546A-Main-Board-UN55EH6000FXZA/323827835752?hash=item4b65a4a368:g:67MAAOSw9A5cnckg"
"SPONSORED SAMSUNG BN94-10800A Main Board for UN50KU6300FXZA (Version DA01 DC05)","$57.99","https://www.ebay.com/itm/SAMSUNG-BN94-10800A-Main-Board-for-UN50KU6300FXZA-Version-DA01-DC05/293123199834?epid=1881534022&_trkparms=ispr%3D1&hash=item443f81135a:g:UxcAAOSwi5FdBwWL&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYa86Lr4XIAsRPrXi3cvWd6ONWs%2BA%2FZh552vI5aHIb3ss8W73UkA0VTLx0frlc5TIC0BnYJkPc35QpovQS3av%2F4P8EUG9vBbQs%2BPnGWNvkesKYwhVjiIPAIu7grqXdaByhi1CuvovU%2BBpg4RU5t506smfjyR8d3j8EvFt4vCgkO1xlV9noNEmWa%2FiILaY%2BTC6xw%2B%2FynXdVHv7O9vk6GqIgb7%2FH7Z2647mI4rYaGz9Ds1d3uCIrKdp9cQsBPTWrcmdiprlXYXCFuKejhfIPUWduTAD8yUxeYc4MFgCFT0DcViko62YF0ikW4Nbx%2Fpw0qJqr7bJv1mnc6cm%2BoLRXwCh7vSohr0pbVZy6GAFM1zgNl4q07AxJQ6dPxtSYjvrLpLUPGX4u2A0XlBOyOJSlGZj6R6jH6PmVaMtlLCAzMoMYldEFuEp6liD5PROYKs3S7TQiF9rGLW7GUZtqrlWDn%2FjhmXR2ogNnmNsghsi82zxHblK6bsVqsbt5zX%2FsQCRMUrmtqf%2F5FD8WfjgWEzRTmot%2FhFCeqXmqFf7pe10iyoxxAT45ofD7waPf%2BjVO%2BdR5mA0IMBhvVyTR%2FuXjqr7Q6FYBl9&checksum=293123199834f4087d1a6b3a4a71aa007807b9a780e3"
"SPONSORED SAMSUNG BN94-12929A Main Board for UN82NU800DFXZA FA01","$199.90","https://www.ebay.com/itm/SAMSUNG-BN94-12929A-Main-Board-for-UN82NU800DFXZA-FA01/283365971445?epid=27025989132&_trkparms=ispr%3D1&hash=item41f9ed95f5:g:RTEAAOSwXgxcWJ74&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYYj6B2TZ8SjtH3rmI4NOH8ukpjxSkVELW56byXYc7y6hlz22Dh03IPG2TPIoX0Pi3Y2MuCDSJmrcl95bN5vH33EVGTPgygpkfHuqbApic6BHEq9Uzmb9USHfs%2FhE7rQDHHGOoGPI0zniypDn0uzvPTEdhkrIbxiISEcpblexvzORLpBv6cDxo%2BRRomRIunwRBKXUUJ%2FsSgzI4xC%2B8dfuOgtHwFJPILXvXon3LGdNGOI3cnbGijHuSzDjSWPv4%2BsQGKwZHbsTVeXIPNX9woXHKkg%2F%2F4Khu%2BLOhdbH%2Bdaler3F1wU0VZfIQxyc%2BXKmtOgjwkg5xM9B2GdWtcU6yV3gWPR%2FeMUJOjgETqo%2BYykAtnNoEyFIJiiTIE7ff55YthDFGmEYPdxqMj0L3fYHrawrlk2gaZfipYduPfM0wMsoGvGBYO%2BRS%2FBBrjKsn3zc6Z2o4RsTmgAu5ubBdilqLyJKl6x4rdE5wehUb1%2F7c9FLy0H%2FF4w74YyqcfTTk1mDYiPKPI9i6gfzFP4VcmR5mlm1Ie%2BGJRtOLSq%2FMc7avGG%2FK%2BmgSNMavwWT%2F2V4TkcXu0j9AZZrTxz2ma2eRsxrmb3EabA&checksum=283365971445f4087d1a6b3a4a71aa007807b9a780e3"
"Samsung BN94-07455J Main Board","$9.84","https://www.ebay.com/itm/Samsung-BN94-07455J-Main-Board/292433459067?hash=item441664777b:g:krQAAOSwmSdac6vC:sc:USPSPriority!48823!US!-1"
"Samsung BN94-10827A Main Board","$27.99","https://www.ebay.com/itm/Samsung-BN94-10827A-Main-Board/264005462595?epid=1690368243&hash=item3d77f3aa43:g:I~MAAOSwsn9b813n"
"Samsung BN94-09582A Main Board UN55J6200A See Note! plus Wifi and Function pcb","$29.95","https://www.ebay.com/itm/Samsung-BN94-09582A-Main-Board-UN55J6200A-See-Note-plus-Wifi-and-Function-pcb/163759522844?epid=6014008839&hash=item2620d4041c:g:G4UAAOSw47NdGXq0"
"BN94-07727D SAMSUNG Main Board BN97-08808A, BN41-02245A, UN55H6203AF (11924)","$34.00","https://www.ebay.com/itm/BN94-07727D-SAMSUNG-Main-Board-BN97-08808A-BN41-02245A-UN55H6203AF-11924/323843957261?epid=1455115522&hash=item4b669aa20d:g:hDMAAOSwtLxbfG4u"
"SAMSUNG UN58J5190AFXZA UN58J5190AF MAIN BOARD# BN94-10553A","$27.00","https://www.ebay.com/itm/SAMSUNG-UN58J5190AFXZA-UN58J5190AF-MAIN-BOARD-BN94-10553A/282862424816?hash=item41dbea12f0:g:0y0AAOSw6HJch3CA"
"BN94-05563S SAMSUNG Main Board BN41-01778A, BN97-06523C, UN40EH5000F (9881)","$19.99","https://www.ebay.com/itm/BN94-05563S-SAMSUNG-Main-Board-BN41-01778A-BN97-06523C-UN40EH5000F-9881/372698209107?hash=item56c68b5b53:g:ngMAAOSwKs1dFXKN"
"Samsung BN94-07866A Main Board","$27.00","https://www.ebay.com/itm/Samsung-BN94-07866A-Main-Board/264145803746?epid=1242195243&hash=item3d805119e2:g:W0sAAOSwcGpcQPqe"
"Samsung BN94-12871C Main Board for UN55NU6900BXZA (Version FA01) [locS3]","$49.00","https://www.ebay.com/itm/Samsung-BN94-12871C-Main-Board-for-UN55NU6900BXZA-Version-FA01-locS3/143306130449?epid=6031237316&hash=item215db60411:g:qtIAAOSwZdZdD8UV"
"SAMSUNG UN65KS8000FXZA MAIN BOARD PART# BN94-10751C","$80.00","https://www.ebay.com/itm/SAMSUNG-UN65KS8000FXZA-MAIN-BOARD-PART-BN94-10751C/143313545333?epid=1977662352&hash=item215e272875:g:REoAAOSwKRpc02m7"
"Samsung BN94-11971A Main Board For UN65MU8500F","$100.00","https://www.ebay.com/itm/Samsung-BN94-11971A-Main-Board-For-UN65MU8500F/254280611755?epid=17018999417&hash=item3b344e37ab:g:tGQAAOSwz21dGGmh"
"Samsung UN65NU8000FXZA Main Board BN94-12927A BN97-14118A Ver:FE07 FA01 FD04","$41.00","https://www.ebay.com/itm/Samsung-UN65NU8000FXZA-Main-Board-BN94-12927A-BN97-14118A-Ver-FE07-FA01-FD04/303205830878?hash=item469879d0de:g:90QAAOSwrl9dFt-0"
"SAMSUNG UN55KU6300F POWER SUPPLY board BN94-10712A","$27.95","https://www.ebay.com/itm/SAMSUNG-UN55KU6300F-POWER-SUPPLY-board-BN94-10712A/223570442337?hash=item340dd63861:g:d4QAAOSwhFpdGApk"
"Samsung BN94-03366C Main Board for UN46C6300SFXZA","$42.00","https://www.ebay.com/itm/Samsung-BN94-03366C-Main-Board-for-UN46C6300SFXZA/401782794265?epid=1437615663&hash=item5d8c1ee819:g:sooAAOSwBlBdBYrg"
"SPONSORED SAMSUNG BN94-13282F Main Board for UN75NU710DEXZA BA02","$129.90","https://www.ebay.com/itm/SAMSUNG-BN94-13282F-Main-Board-for-UN75NU710DEXZA-BA02/273683241093?epid=12028560121&_trkparms=ispr%3D1&hash=item3fb8cad885:g:aU0AAOSwmvpcVi8I&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYYyrnHWLXhnYh4u%2F9ZCisRQGr5A668G4YeZCVlQhi1ZpPvIEmO3giazK4JARDfZn7KZ05vl9N10KOR9U4uzwcFJN1ovV3zTf9hE9%2BgCfMBSzvtsvkXVPOCmRtQcT0pgmAstzqWdzQWL%2F4YeMB%2FeI2oFZ5rZJp41XdIEJp%2FT4oJl7N7BpRpb0bq8%2FemLd%2F2qicQCafV%2FlYocJVdVSFEnYnnJCokaX9erzeE25d3t5MmASvD2R87hncjz5vpszJQCJqd0hohQ%2BHBOk0HlXUwz8EEGs4fPADcMtfeLAQ%2BZJAvEvGk5LkBrRCZMV50QeKy2ttTF74LGc9MGF%2FE9JS2GAltue75SZ83drpswGzlYNEtrGdz0gQ1jZtaxLFycaG9co8XOvE%2BJErn6ivW4zMcHqRyf9YiKV0zIiAHpYKOpjqGHZMoyGCG0oWos7vAlx84NvR75kGZK1JZPgElkI6gbmP9pSI7hsQuPxxHeMmdAnt4lAas9UaXAhaNFSZOQrOYFUYEsa9WD21vcHmRVUIAWHJyssdysREa12d0mDmx9mKA36EMy8sL6dj5L52URB0Czvk41z8mFpAS5ElWWahyICJFl&checksum=273683241093f4087d1a6b3a4a71aa007807b9a780e3"
"SPONSORED SAMSUNG BN94-12869D BN97-14045A Main Board for UN50NU6900BXZA","$57.90","https://www.ebay.com/itm/SAMSUNG-BN94-12869D-BN97-14045A-Main-Board-for-UN50NU6900BXZA/293102585975?epid=25031329597&_trkparms=ispr%3D1&hash=item443e468877:g:3PcAAOSwJ6dc6Z-9&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYYI5G19uTywNB5ICp%2FLoNosHdsjP0etRmp6sP%2BHqvcs3WujJHM31jXaAaTyc3sYa5oN18x%2B28loCROtRsmZ0uPfpnXn%2FHwJ2kv9w9KRO4f44kQk%2BU6gTmgy0F3hqznQ%2Fy3M4JhMD%2FONwaG8gkkGq8d%2B09%2FwaFmowt34L2WIGR25uT4MouVdvuNEcSomVylKY4k%2FMfNXmC6zGb365iRQKOZhI%2BQpqjAHsB44GblDMRFaH9m3Ch9NHZmQsMnVGUAKLpF2jTDAQHrMh6ZgfTxXuHvau6%2B6BMiaIqnwkg4Xm%2FXBPoO6af3vRhOjbmjn%2BhkqNKPGTZXsn1wVM%2BpI9EihOtb2uWR%2BdOIEUiq6BtzlJ%2FspaNyecoMMhFzJmykaU6nlPkX9RpR%2BJLy9EHr9jne82AUh7t6ZR8VXXRnx5F5VKQHc837MLTf6i%2F0nHWpfii7mP126F9R5q%2FQLds12orZ1kugGtiNjmX%2BoWDZHSelkbxWlwusWcgZYaMyr0IA0xKDJ3NTug%2FgaqbMyyq7d1voYgTiB5B8%2BhNbiDnwBrQlFpZRYtrdDo4LWzwAP8Pwq%2FzvH4VnWSFPwgWTSLKO9QYuQSb1c&checksum=293102585975f4087d1a6b3a4a71aa007807b9a780e3"
"Samsung BN94-12049C Main Board for UN43M5300AFXZA - BN41-02574","$19.00 $32.00","https://www.ebay.com/itm/Samsung-BN94-12049C-Main-Board-for-UN43M5300AFXZA-BN41-02574/192962102933?epid=24012521736&hash=item2ced700695:g:2ZkAAOSwn3RdCS2x"
"SAMSUNG UN60J6200AFXZA MAIN BOARD# BN94-09127A","$25.00","https://www.ebay.com/itm/SAMSUNG-UN60J6200AFXZA-MAIN-BOARD-BN94-09127A/273895112765?epid=3024152952&hash=item3fc56bc03d:g:9ukAAOSwVt1ap3eQ"
"Samsung BN94-07259C, UN48H6350AFXZA, Main Board","$80.95","https://www.ebay.com/itm/Samsung-BN94-07259C-UN48H6350AFXZA-Main-Board/123815977780?epid=2255325983&hash=item1cd401e334:g:3cYAAOSwhkJdE5vo"
"Samsung BN94-06418U Main Board for UN60FH6200FXZA","$38.99","https://www.ebay.com/itm/Samsung-BN94-06418U-Main-Board-for-UN60FH6200FXZA/293119468009?epid=5019352019&hash=item443f4821e9:g:EhsAAOSwaQ9dAeEL"
