sku,title,"Quantity Sold","Avg. Price","Total Sales Volume"
AN-MR19BA-NEW,"LG OLED55C9PUA 49SM8000PUA Remote AN-MR19BA NEW",6,39.9500000000000000,239.70
55LJ550M-USED-1,"LG 55LJ550M 55LJ5500 55UJ6300 49UM6900 Stand Legs Black W/Screws - USED",6,59.9500000000000000,359.70
LNTVEY208XXB9,"Vizio D55U-D1 LED Driver (715G7159-P01-001-004Y) LNTVEY208XXB9",6,18.7833333333333333,112.70
XBR-65X900E-NEW,"Sony XBR-65X900E XBR-55X900E TV Stand 4-686-200-11 4-686-203-01 4-686-204-01",6,79.9500000000000000,479.70
T8-43NAGA-MA1,"TCL T8-43NAGA-MA1 Main Board for 43S405 49S405 49S403 55S403 55S401 65S405",6,29.9500000000000000,179.70
NS-55DF710NA19-NEW,"Insignia NS-55DF710NA19 NS-50DF710NA19 Stand Legs W/Screws - NEW(P34T3261A)",5,34.9500000000000000,174.75
LED50B45RQ-USED,"RCA LED50B45RQ Stand W/Screws - Used",5,32.9700000000000000,164.85
CIR-CIR,"Sharp LC-50LB371U LC-32LB261U LC-42LB261U LC-58Q620U Power Cord NEW",5,8.9500000000000000,44.75
09-60CAP000-00,"Vizio E600I-B3 E601I-A3 E601I-A3E Power Supply 09-60CAP000-00",5,47.9600000000000000,239.80
UN48J-SWIVEL-NEW-9,"Samsung UN55MU6071F UN55MU6290F Swivel Stand W/Screws-NEW",5,44.9500000000000000,224.75
BN94-11439A,"Samsung QN75Q7FAMFXZA QN75Q8CAMFXZA Power Supply BN94-11439A",5,99.9500000000000000,499.75
4T-TCN550-CS15,"TCL 55US5800 55S405 55S401 55L621U T-Con Board (ST5461D04-1-C-1) 4T-TCN550-CS15",5,39.9500000000000000,199.75
LJ94-29023C,"Vizio E480I-B2 / E480-B2 T-Con Board LJ94-29023C",5,6.9500000000000000,34.75
LC-43LBU591U-USED,"Sharp / Insignia LC-43LBU591U LC-40LB480U LC-40LB601U Stand Legs W/Screws - USED",5,24.9500000000000000,124.75
08-SS55TML-LC308AA,"TCL 55S405 55S401 (08-MS10S01-MA200AA) Main Board 08-SS55TML-LC308AA",5,24.9500000000000000,124.75
55.65T50.C13,"Vizio D65-E0 E65-E1 E65-E0 M65-E0 D65-F1 E65-F0 T-Con Board 55.65T50.C13",5,10.9500000000000000,54.75
