"Order Number",SKU,Quantity,Carrier,"Service Level",Tracking,Cost,"Package Weight","Package Length","Package Width","Package Height"
="1056578",="75R6E1-USED",="1",FEDEX,"FedEx One Rate® (2Day)",="392953270113",="8.2",,,,
="1056752",="RMF-TX310U-USED",="1",USPS,"USPS First Class",="9400111298370175194541",="3.39",,,,
="1056759",="RMF-TX310U-USED",="1",USPS,"USPS First Class",="9400111298370175191472",="3.67",,,,
="1056755",="00111203302-NEW-6",="1",USPS,"USPS First Class",="9400111298370175126061",="2.93",,,,
="1056735",="1-001-465-11",="1",USPS,"USPS First Class",="9400111298370175155542",="3.25",,,,
="1056792",="NS-24D310NA19-NEW",="1",USPS,"USPS First Class",="9400111298370175165282",="2.78",,,,
="1056796",="EAD61273133-NEW",="1",USPS,"USPS First Class",="9400111298370175185518",="2.76",,,,
="1056796",="EAD61273134-NEW",="1",USPS,"USPS First Class",="9400111298370175185518",="2.76",,,,
="1056761",="5926-E15100-0110-NEW",="1",USPS,"USPS First Class",="9400111298370175103161",="3.67",,,,
="1056773",="XRT134-REF",="1",USPS,"USPS First Class",="9400111298370175106117",="3.31",,,,
="1056740",="RMF-TX310U-USED",="1",USPS,"USPS First Class",="9400111298370175432537",="3.25",,,,
="1056815",="EAD61273134-NEW",="1",USPS,"USPS First Class",="9400111298370175419453",="2.93",,,,
="1056776",="D32H-G9-USED",="1",USPS,"USPS First Class",="9400111298370175417244",="3.25",,,,
="1056754",="AN-MR19BA-USED",="1",USPS,"USPS First Class",="9400111298370175475145",="3.25",,,,
="1056741",="WD12X21322",="1",USPS,"USPS First Class",="9400111298370175471284",="3.31",,,,
="1056750",="LC-RCRUS-17-NEW",="1",USPS,"USPS First Class",="9400111298370175495501",="2.84",,,,
="1056800",="W11175771",="1",USPS,"USPS First Class",="9400111298370175422057",="2.78",,,,
="1056819",="EN-83804S-NEW",="1",USPS,"USPS First Class",="9400111298370175455529",="2.78",,,,
="1056508",="D43-D2-NEW",="1",USPS,"USPS First Class",="9400111298370175469472",="3.39",,,,
="1056826",="BN59-01312G-NEW",="1",USPS,"USPS First Class",="9400111298370175489746",="5.27",,,,
="1056711",="UN43NU7100-STAND-NEW",="1",USPS,"USPS First Class",="9400111298370175481818",="4.46",,,,
="1056767",="84504503B01-NEW",="1",USPS,"USPS First Class",="9400111298370175408983",="2.84",,,,
="1056804",="D65-E0-NEW",="1",USPS,"USPS First Class",="9400111298370175632180",="5.54",,,,
="1056687",="BN96-18153A-NEW-59",="1",USPS,"USPS First Class",="9400111298370175631619",="3.25",,,,
="1056633",="48-55-EH-RECT-USED-4",="1",FEDEX,"FedEx Home Delivery®",="392954334673",="12.74",,,,
="1056821",="CIR-CIR-15",="1",USPS,"USPS First Class",="9400111298370175646170",="2.84",,,,
="1056719",="111203301-NEW-2",="2",USPS,"USPS First Class",="9400111298370175672940",="3.25",,,,
="1056812",="VizioCord-235",="1",USPS,"USPS First Class",="9400111298370175690500",="3.39",,,,
="1056824",="QN55Q7FAMFXZA-USED",="1",FEDEX,"FedEx Home Delivery®",="392954519197",="11.45",,,,
="1056803",="75SK8070PUA-USED",="1",FEDEX,"FedEx Home Delivery®",="392954582258",="17.21",,,,
="1056513",="NS-55DF710NA19-NEW",="1",USPS,"USPS First Class",="9400111298370175666987",="4.08",,,,
="1056816",="D40F-G9-USED",="1",FEDEX,"FedEx One Rate® (2Day)",="392954707968",="8.2",,,,
="1056813",="BN59-01301A-NEW-17",="1",USPS,"USPS First Class",="9400111298370175602244",="3.18",,,,
="1056576",="QN49Q60RAFXZA-USED",="1",USPS,"USPS First Class",="9400111298370172889891",="5.7",,,,
="1056649",="QN49Q60RAFXZA-NEW",="1",USPS,"USPS First Class",="9400111298370172888580",="5.12",,,,
="1056511",="NS-32D220NA18-NEW",="2",USPS,"USPS First Class",="9400111298370172808694",="3.25",,,,
="1056742",="BN59-01196C-NEW",="1",USPS,"USPS First Class",="9400111298370172338825",="3.67",,,,
="1056763",="UN50NU6900B-USED-2",="1",USPS,"USPS First Class",="9400111298370172319657",="4.46",,,,
="1056805",="D40F-G9-USED",="1",USPS,"USPS Priority",="9405511298370172318196",="7.56",,,,
="1056825",="00184590",="1",USPS,"USPS First Class",="9400111298370172349586",="2.78",,,,
="1056603",="1-493-326-11",="1",FEDEX,"FedEx One Rate® (2Day)",="392956655179",="8.2",,,,
="1056621",="MAM638440-NEW",="1",USPS,"USPS Priority",="9405511298370172371757",="8.76",,,,
="1056806",="EAD61273134-NEW",="2",USPS,"USPS First Class",="9400111298370172396139",="3.05",,,,
="1056789",="HU-RCRUS-20G-NEW",="1",USPS,"USPS First Class",="9400111298370172322480",="2.93",,,,
="1056721",="D32H-F0-USED",="1",USPS,"USPS First Class",="9400111298370172355679",="2.78",,,,
="1056760",="BN96-36499F-USED",="1",USPS,"USPS First Class",="9400111298370172369539",="3.05",,,,
="1056525",="39663A-39664A-16",="1",USPS,"USPS Priority",="9405511298370172367088",="8.12",,,,
="1056823",="RUNTK5556TP",="1",USPS,"USPS First Class",="9400111298370172303212",="4",,,,
="1056817",="ADTVF3010AD7",="1",USPS,"USPS First Class",="9400111298370172275618",="5.27",,,,
="1056820",="55.50T28.C03",="1",USPS,"USPS First Class",="9400111298370172591626",="2.84",,,,
="1056709",="ADTVE2425XB6",="1",FEDEX,"FedEx Home Delivery®",="392957799626",="13.36",,,,
="1056822",="08-AU43TML-LC253AA",="1",USPS,"USPS First Class",="9400111298370172565818",="5.4",,,,
="1056777",="BN44-00878A",="1",FEDEX,"FedEx Home Delivery®",="392957880572",="12.08",,,,
="1056818",="170595-V.1",="1",USPS,"USPS First Class",="9400111298370172581276",="3.31",,,,
="1056746",="BN44-00167A",="1",USPS,"USPS Priority",="9405511298370172733906",="8.39",,,,
="1056629",="UN55NU7100FXZA-STAND-NEW",="1",USPS,"USPS First Class",="9400111298370172715138",="5.7",,,,
="1056564",="UN55NU7100FXZA-STAND-NEW",="1",USPS,"USPS First Class",="9400111298370172711925",="5.12",,,,
="1056584",="D43-D2-NEW",="1",USPS,"USPS First Class",="9400111298370172741328",="3.31",,,,
="1056696",="UN65NU6900F-USED",="1",USPS,"USPS First Class",="9400111298370172759910",="5.4",,,,
="1056787",="D32H-G9-NEW",="1",USPS,"USPS First Class",="9400111298370172750528",="2.78",,,,
="1056520",="43UK6500UA-NEW",="1",USPS,"USPS First Class",="9400111298370172780082",="3.52",,,,
="1056566",="",="1",USPS,"USPS Priority",="9405511298370172195735",="9.99",,,,
="1056799",="75UK6570PUB-USED",="1",FEDEX,"FedEx One Rate® (2Day)",="392958797630",="8.2",,,,
="1056567",="32LF221U19-USED",="1",USPS,"USPS First Class",="9400111298370172152179",="3.23",,,,
="1056618",="32LF221U19-USED",="1",USPS,"USPS First Class",="9400111298370172163304",="3.25",,,,
="1056700",="D43-D2-NEW",="1",USPS,"USPS First Class",="9400111298370172167920",="3.31",,,,
="1056529",="43LF421U19-NEW",="1",USPS,"USPS First Class",="9400111298370172184712",="4",,,,
="1056667",="TVD1801-15-USED",="1",USPS,"USPS First Class",="9400111298370172103089",="3.25",,,,
="1056747",="55LH5750UB-USED",="1",USPS,"USPS First Class",="9400111298370172107124",="4.08",,,,
="1056807",="KJ55D13R-ZC14F-02",="1",USPS,"USPS First Class",="9400111298370172438259",="3.97",,,,
="1056519",="",="1",USPS,"USPS First Class",="9400111298370172489046",="3.18",,,,
="1056469",="",="2",USPS,"USPS Priority",="9405511298370172617213",="8.5",,,,
="1056509",="BN96-35223A-BN96-38964W-15-1",="1",USPS,"USPS Priority",="9405511298370172697970",="10.64",,,,
="1056775",="",="1",USPS,"USPS First Class",="9400111298370172932139",="5.4",,,,
="1056839",="00496013",="1",USPS,"USPS First Class",="9400111298370179022956",="5.4",,,,
="1056831",="OLED55C8A-UA-STAND-USED",="1",FEDEX,"FedEx Home Delivery®",="392961014436",="23.08",,,,
="1056827",="UN40J5200AF-USED",="1",USPS,"USPS Priority",="9405511298370179009721",="9.39",,,,
